id,day_of_week,scheduled_date,status,theme,notes,published_at
1,LUNES,2026-08-17,PUBLISHED,に vs で (東京に住む vs レストランで食べる),住む・いる＝に、アクション＝で,2026-08-17 18:00:00
2,LUNES,2026-08-24,PUBLISHED,は vs が (WA vs GA) & 天気・自然現象,雨が降る、雷が鳴るなどの自然現象ルール,2026-08-25 08:07:00
3,LUNES,2026-08-31,READY,ために vs ように (目的の表現 N4/N3),意志動詞＝ために、可能動詞/否定形＝ように,
4,LUNES,2026-09-07,DRAFT,てあげる vs てくれる vs てもらう (授受表現),誰から誰への親切か,
5,MIERCOLES,2026-08-19,PUBLISHED,すみません vs ごめん (謝罪・呼びかけの使い分け),日常会話のリアルな使い分け,2026-08-20 18:00:00
6,MIERCOLES,2026-08-26,READY,だいじょうぶ (大丈夫) の4つの意味,断る、確認、体調、OKの使い分け,
7,MIERCOLES,2026-09-02,DRAFT,日本人がよく使う自然な相づち5選,相づちマナー,
8,VIERNES,2026-08-21,PUBLISHED,日本留学ビザ (CoE) 申請タイムライン (スペイン発),5〜6ヶ月前からの準備ステップ,2026-08-21 18:00:00
9,VIERNES,2026-08-28,READY,留学生の1ヶ月のリアル生活費と家賃相場,東京・バルセロナ比較,
10,VIERNES,2026-09-04,DRAFT,150時間学習証明とJLPT N5の必要性,ビザ要件,
